customer_id,full_name,gender,age,city,country,signup_date,loyalty_tier
C000001,Allison Hill,Non-binary,35,New York,United States,2020-01-31,Silver
C000002,Noah Rhodes,Male,55,Phoenix,United States,2021-08-03,Silver
C000003,Angie Henderson,Male,50,Los Angeles,United States,2023-02-14,Silver
C000004,Daniel Wagner,Female,32,Nice,France,2021-10-27,Gold
C000005,Cristian Santos,Non-binary,45,Manchester,United Kingdom,2020-11-23,Silver
C000006,Connie Lawrence,Male,23,Marseille,France,2021-03-26,Silver
C000007,Abigail Shaffer,Female,69,Adelaide,Australia,2018-05-15,Gold
C000008,Gina Moore,Male,53,Houston,United States,2020-06-29,Gold
C000009,Gabrielle Davis,Male,63,Adelaide,Australia,2018-08-05,Silver
C000010,Ryan Munoz,Male,32,Marseille,France,2018-11-10,Silver
C000011,Monica Herrera,Male,41,Sharjah,UAE,2021-01-08,Silver
C000012,Jamie Arnold,Non-binary,58,Mumbai,India,2019-06-16,Gold
C000013,Lisa Hensley,Female,42,Lyon,France,2020-04-18,Platinum
C000014,Michele Williams,Male,32,Marseille,France,2024-12-28,Silver
C000015,Dylan Miller,Female,22,Perth,Australia,2019-10-18,Platinum
C000016,Brian Ramirez,Non-binary,49,Melbourne,Australia,2021-05-14,Platinum
C000017,Holly Wood,Female,26,Abu Dhabi,UAE,2020-02-06,Gold
C000018,Derek Zuniga,Female,55,Hyderabad,India,2021-05-25,Silver
C000019,Lisa Jackson,Female,23,Cologne,Germany,2024-06-06,Silver
C000020,Carla Gray,Non-binary,28,Los Angeles,United States,2024-09-26,Gold
C000021,Margaret Hawkins DDS,Female,56,Houston,United States,2021-12-25,Gold
C000022,Patty Perez,Non-binary,52,London,United Kingdom,2024-05-21,Silver
C000023,Ethan Adams,Female,45,Sydney,Australia,2019-05-07,Silver
C000024,Tommy Walter,Male,50,Hyderabad,India,2018-11-27,Platinum
C000025,Matthew Foster,Non-binary,30,Hyderabad,India,2019-04-20,Silver
C000026,Judy Baker,Non-binary,18,Cologne,Germany,2023-02-04,Silver
C000027,Justin Baker,Female,69,London,United Kingdom,2020-08-13,Silver
C000028,Stephanie Ross,Male,23,Nice,France,2024-03-23,Silver
C000029,Zachary Hicks,Male,26,Phoenix,United States,2023-08-12,Silver
C000030,Anthony Rodriguez,Non-binary,56,Hamburg,Germany,2021-08-07,Platinum
C000031,Rebecca Henderson,Female,60,Marseille,France,2023-07-13,Silver
C000032,James Ferrell,Male,32,Dubai,UAE,2018-07-18,Silver
C000033,Tricia Valencia,Male,18,Nice,France,2018-08-09,Gold
C000034,Nathan Maldonado,Male,20,Manchester,United Kingdom,2020-10-23,Silver
C000035,Debra Davidson,Non-binary,49,Marseille,France,2019-10-28,Gold
C000036,Jeffrey Chavez,Female,69,Abu Dhabi,UAE,2021-06-18,Silver
C000037,Sherri Baker,Female,45,Houston,United States,2021-07-01,Silver
C000038,Cassandra Gaines,Male,43,London,United Kingdom,2024-03-12,Silver
C000039,Elizabeth Fowler,Male,30,Los Angeles,United States,2022-07-25,Silver
C000040,Brittany Farmer,Female,47,Vancouver,Canada,2020-02-16,Platinum
C000041,Paula Moreno,Non-binary,24,Houston,United States,2018-06-07,Gold
C000042,Fred Smith,Male,28,London,United Kingdom,2021-06-16,Silver
C000043,Sherry Decker,Male,28,Toulouse,France,2021-03-23,Silver
C000044,Anthony Humphrey,Female,36,Montreal,Canada,2021-08-07,Gold
C000045,Angelica Tucker,Male,36,Abu Dhabi,UAE,2019-11-08,Platinum
C000046,Philip Cannon,Male,21,Birmingham,United Kingdom,2022-12-20,Silver
C000047,John Pierce,Non-binary,23,Berlin,Germany,2019-08-01,Silver
C000048,Shane Henderson,Female,25,Los Angeles,United States,2022-11-05,Silver
C000049,Joshua Blair,Male,44,Glasgow,United Kingdom,2023-08-05,Gold
C000050,Eric Carney,Male,60,Brisbane,Australia,2024-02-04,Silver
C000051,Jessica Holmes,Male,60,Chennai,India,2023-06-29,Silver
C000052,Danny Morgan,Male,47,Sydney,Australia,2023-04-14,Platinum
C000053,Crystal Robinson,Non-binary,31,New York,United States,2022-04-21,Silver
C000054,Mark Perez,Male,41,Sydney,Australia,2020-06-04,Silver
C000055,Shannon Jones,Non-binary,51,Hyderabad,India,2018-01-25,Gold
C000056,Michael Lewis,Male,34,Mumbai,India,2018-12-25,Platinum
C000057,Timothy Duncan,Female,56,Hamburg,Germany,2019-10-17,Gold
C000058,Richard Aguirre,Non-binary,49,Marseille,France,2020-02-20,Platinum
C000059,Brent Jordan,Non-binary,45,London,United Kingdom,2020-05-09,Silver
C000060,John Daniel,Non-binary,34,Melbourne,Australia,2019-05-18,Gold
C000061,Victoria Garcia,Male,25,Ottawa,Canada,2018-08-22,Platinum
C000062,Gerald Hensley,Male,41,Cologne,Germany,2022-12-15,Gold
C000063,Connor West,Male,37,Vancouver,Canada,2021-02-06,Platinum
C000064,Donald Wright,Male,61,Birmingham,United Kingdom,2020-02-15,Gold
C000065,Jessica Callahan,Female,57,Adelaide,Australia,2024-05-17,Silver
C000066,Amber Kidd,Male,44,Lyon,France,2018-03-19,Silver
C000067,Tracy House,Non-binary,65,Perth,Australia,2024-11-23,Silver
C000068,Carol Tucker,Female,20,Berlin,Germany,2022-01-02,Silver
C000069,James Brown,Female,70,Sharjah,UAE,2024-10-07,Platinum
C000070,William Baker,Non-binary,30,Paris,France,2021-05-22,Silver
C000071,Jordan Henderson,Female,59,Chicago,United States,2022-05-02,Silver
C000072,Whitney Peters,Male,34,Sydney,Australia,2019-07-09,Gold
C000073,Brittney Phillips,Male,56,Mumbai,India,2021-09-12,Silver
C000074,Lauren Daniels,Non-binary,50,Perth,Australia,2018-12-26,Silver
C000075,Amy Silva,Male,63,Marseille,France,2021-09-16,Silver
C000076,Sarah Moore,Female,22,Marseille,France,2023-08-26,Platinum
C000077,Angela Lopez,Non-binary,37,Sydney,Australia,2022-04-25,Silver
C000078,Megan Young,Female,62,Montreal,Canada,2020-07-07,Gold
C000079,Steve Sanchez,Non-binary,42,Toulouse,France,2023-10-06,Gold
C000080,Lisa Barnes,Non-binary,37,Cologne,Germany,2021-06-15,Gold
C000081,Kelly Donovan,Female,31,Birmingham,United Kingdom,2021-08-28,Gold
C000082,Mike Allen,Female,46,Perth,Australia,2023-10-01,Silver
C000083,Michael Evans,Non-binary,23,Abu Dhabi,UAE,2020-05-31,Gold
C000084,Paul Jones,Male,61,Sydney,Australia,2020-08-22,Silver
C000085,Zachary Ferrell,Male,20,Lyon,France,2020-01-31,Platinum
C000086,Daniel Baker,Female,58,Houston,United States,2022-11-24,Silver
C000087,Shirley Suarez,Female,33,Calgary,Canada,2019-04-04,Gold
C000088,Christopher Bass,Female,32,London,United Kingdom,2019-07-01,Gold
C000089,Lisa Archer,Non-binary,33,Dubai,UAE,2019-01-13,Silver
C000090,Aimee Montoya,Non-binary,56,Al Ain,UAE,2020-09-12,Platinum
C000091,Matthew Mcmillan,Non-binary,50,Al Ain,UAE,2021-08-18,Gold
C000092,Brian Rodriguez,Non-binary,48,Abu Dhabi,UAE,2021-10-30,Silver
C000093,Denise Jacobs,Non-binary,49,Marseille,France,2023-05-02,Silver
C000094,Christina Walters,Non-binary,36,Dubai,UAE,2019-12-30,Silver
C000095,John Whitehead,Male,26,Adelaide,Australia,2019-04-14,Silver
C000096,Anna Henderson,Male,44,Munich,Germany,2021-06-20,Silver
C000097,Aaron Wise,Male,31,Ajman,UAE,2021-07-29,Silver
C000098,Deborah Figueroa,Female,48,Glasgow,United Kingdom,2018-01-19,Platinum
C000099,Jessica Smith,Female,52,Chennai,India,2024-05-11,Gold
C000100,Stephen Mckee,Male,35,Toulouse,France,2021-09-16,Silver
C000101,Sandra Aguilar,Non-binary,61,Montreal,Canada,2024-10-15,Silver
C000102,Cameron Parker,Male,57,Frankfurt,Germany,2022-07-18,Silver
C000103,Rebecca Valencia,Non-binary,60,Ottawa,Canada,2018-03-26,Silver
C000104,Christine Wright,Female,29,Vancouver,Canada,2018-06-06,Silver
C000105,Richard Henson,Female,38,Melbourne,Australia,2020-11-14,Gold
C000106,Marc Moore,Female,34,Montreal,Canada,2018-09-12,Silver
C000107,Sharon Cherry,Male,59,Birmingham,United Kingdom,2018-08-02,Gold
C000108,Sierra Johnson,Male,30,London,United Kingdom,2018-03-05,Gold
C000109,Evelyn Galvan,Female,60,Lyon,France,2018-12-22,Gold
C000110,Sharon Cochran,Non-binary,34,Toulouse,France,2024-07-10,Silver
C000111,Richard Rodriguez,Female,24,Los Angeles,United States,2022-12-03,Silver
C000112,Shannon Walker,Non-binary,42,Hyderabad,India,2021-05-17,Platinum
C000113,Julia Torres,Non-binary,62,Paris,France,2023-05-03,Silver
C000114,Crystal Johnson,Male,68,Hyderabad,India,2022-10-25,Gold
C000115,Garrett Lin,Female,60,Adelaide,Australia,2021-02-25,Silver
C000116,Diana May,Female,70,Sydney,Australia,2022-03-04,Silver
C000117,William Herrera,Non-binary,27,Perth,Australia,2021-09-15,Silver
C000118,Ashley Waller,Non-binary,67,Hyderabad,India,2022-02-11,Silver
C000119,Victor Baker,Male,23,Bangalore,India,2020-05-16,Platinum
C000120,Jeffrey Chandler,Non-binary,57,Toulouse,France,2023-09-07,Silver
C000121,Larry Dixon,Female,29,Leeds,United Kingdom,2022-02-23,Silver
C000122,Kenneth Scott,Female,56,Bangalore,India,2023-12-19,Platinum
